replication,batch_id,station,product,volume_in_m3,volume_out_m3,scrap_m3,enter_buffer_time_h,start_process_time_h,end_process_time_h,setup_time_h,birth_time_h,source_aserradero_batch_id
1,423,aserradero,P1,10.009,4.969,5.04,1384.7386947718635,1387.1243024550545,1387.622333619164,0.49,1387.622333619164,423
1,138,bano,P1,4.858,4.858,0.0,1387.622333619164,1387.622333619164,1387.790648504199,0.0,1387.622333619164,423
1,424,aserradero,P3,26.246,13.012,13.234,1387.4598579821782,1388.112333619164,1389.3537956086095,0.49,1389.3537956086095,424
1,425,aserradero,P1,29.693,14.781,14.912,1400.3644046918473,1400.8544046918473,1402.1259563324272,0.49,1402.1259563324272,425
1,139,bano,P1,15.098,14.719,0.379,1402.1259563324272,1402.1259563324272,1402.6351468221944,0.0,1402.1259563324272,425
1,426,aserradero,P2,29.914,15.224,14.69,1401.1272044184766,1402.6159563324272,1404.183021760767,0.49,1404.183021760767,426
1,427,aserradero,P1,30.158,14.874,15.284,1402.298667633809,1404.673021760767,1406.2197796431572,0.49,1406.2197796431572,427
1,140,bano,P1,14.162,13.675,0.487,1406.2197796431572,1406.2197796431572,1406.8634091121562,0.0,1406.2197796431572,427
1,428,aserradero,P3,30.052,15.078,14.974,1403.5618346900796,1406.7097796431572,1408.1933954478288,0.49,1408.1933954478288,428
1,429,aserradero,P3,28.705,14.19,14.515,1405.0552580943593,1408.1933954478288,1409.5874192999297,0.0,1409.5874192999297,429
1,430,aserradero,P2,29.812,14.84,14.972,1408.0221353300701,1410.0774192999297,1411.6456086692306,0.49,1411.6456086692306,430
1,431,aserradero,P3,28.223,13.858,14.366,1409.8183908389406,1412.1356086692306,1413.544892095792,0.49,1413.544892095792,431
1,432,aserradero,P3,19.961,10.083,9.878,1411.2552065431285,1413.544892095792,1414.6401737293186,0.0,1414.6401737293186,432
1,68,secado,P3,80.37,78.979,1.391,1047.8779111499605,1378.7251388433015,1420.5890551311234,1.41,1047.8779111499605,311
1,433,aserradero,P2,30.98,15.347,15.633,1423.8014439053316,1424.2914439053313,1425.9044378148253,0.49,1425.9044378148253,433
1,434,aserradero,P2,0.849,0.427,0.422,1423.8014439053313,1425.9044378148253,1425.9453747009284,0.0,1425.9453747009284,434
1,102,drymill,P3,42.636,39.92,2.716,1047.8779111499605,1423.59,1427.131476574807,0.59,1047.8779111499605,311
1,103,drymill,P3,36.191,34.252,1.94,1047.8779111499605,1427.131476574807,1430.1779584554258,0.0,1047.8779111499605,311
1,36,impregnado,P3,38.21,38.21,0.0,1047.8779111499605,1427.131476574807,1431.4175741595318,0.0,1047.8779111499605,311
1,435,aserradero,P1,28.525,14.082,14.443,1429.6329560701731,1430.1229560701731,1431.5665851105116,0.49,1431.5665851105116,435
1,141,bano,P1,14.448,14.292,0.157,1431.5665851105116,1431.5665851105116,1432.1036856462379,0.0,1431.5665851105116,435
1,436,aserradero,P2,30.415,15.365,15.051,1432.0951031745467,1432.5851031745467,1434.0165599686868,0.49,1434.0165599686868,436
1,37,impregnado,P3,34.081,33.847,0.234,1047.8779111499605,1431.4175741595318,1435.019215660075,0.0,1047.8779111499605,311
1,437,aserradero,P3,32.215,16.261,15.954,1432.5281621153545,1434.5065599686868,1435.8251398308498,0.49,1435.8251398308498,437
1,438,aserradero,P1,11.263,5.62,5.643,1432.5927069700292,1436.3151398308498,1436.888156863892,0.49,1436.888156863892,438
1,142,bano,P1,5.629,5.629,0.0,1436.888156863892,1436.888156863892,1437.1412801527442,0.0,1436.888156863892,438
1,439,aserradero,P2,25.172,12.518,12.653,1436.905332950164,1437.3953329501642,1438.5871447406316,0.49,1438.5871447406316,439
1,440,aserradero,P1,28.858,14.677,14.182,1438.2490344944633,1439.0771447406316,1440.4368523269977,0.49,1440.4368523269977,440
1,143,bano,P1,14.166,13.96,0.206,1440.4368523269977,1447.0,1447.619348060304,0.0,1440.4368523269977,440
1,441,aserradero,P3,22.141,10.914,11.227,1438.912248255286,1447.49,1448.5133516439832,0.49,1448.5133516439832,441
1,69,secado,P3,85.078,81.707,3.371,1141.2128628247938,1420.5890551311234,1450.4980651712747,0.0,1141.2128628247938,342
1,442,aserradero,P1,29.529,14.585,14.944,1449.7023811434979,1450.1923811434979,1451.8158837251829,0.49,1451.8158837251829,442
1,144,bano,P1,15.555,15.555,0.0,1451.8158837251829,1451.8158837251829,1452.4356501205814,0.0,1451.8158837251829,442
1,104,drymill,P3,38.574,37.495,1.078,1141.2128628247938,1450.4980651712747,1453.6031106601552,0.0,1141.2128628247938,342
1,443,aserradero,P2,30.616,15.661,14.956,1450.9419589622769,1452.3058837251829,1453.6576875045525,0.49,1453.6576875045525,443
1,444,aserradero,P2,27.928,13.766,14.162,1451.1347608878914,1453.6576875045525,1454.9627043978135,0.0,1454.9627043978135,444
1,105,drymill,P3,37.568,35.49,2.078,1141.2128628247938,1453.6031106601552,1456.3757514830052,0.0,1141.2128628247938,342
1,445,aserradero,P1,31.722,16.153,15.568,1454.1728705025141,1455.4527043978135,1456.794353520896,0.49,1456.794353520896,445
1,145,bano,P1,15.678,15.678,0.0,1456.7943535208958,1456.794353520896,1457.3465397881757,0.0,1456.7943535208958,445
1,38,impregnado,P3,40.162,40.162,0.0,1141.2128628247938,1453.6031106601552,1457.5800418043632,0.0,1141.2128628247938,342
1,446,aserradero,P2,6.548,3.347,3.201,1454.1728705025143,1457.284353520896,1457.6098286127446,0.49,1457.6098286127446,446
1,447,aserradero,P3,31.357,15.743,15.614,1458.897517760044,1459.387517760044,1460.7612744271128,0.49,1460.7612744271128,447
1,39,impregnado,P3,33.894,33.379,0.515,1141.2128628247938,1457.5800418043632,1461.22578018412,0.0,1141.2128628247938,342
1,448,aserradero,P2,3.567,1.764,1.804,1458.897517760044,1461.2512744271128,1461.4279113493421,0.49,1461.4279113493421,448
1,449,aserradero,P2,28.782,14.596,14.186,1475.1243141859713,1475.1243141859713,1476.6146327926176,0.0,1476.6146327926176,449
1,450,aserradero,P1,9.037,4.617,4.42,1475.1243141859713,1477.1046327926176,1477.6055859299424,0.49,1477.6055859299424,450
1,146,bano,P1,5.136,5.136,0.0,1477.6055859299424,1477.6055859299424,1477.8179288166168,0.0,1477.6055859299424,450
1,451,aserradero,P2,29.13,14.45,14.679,1479.717401444203,1480.207401444203,1481.7471076676177,0.49,1481.7471076676177,451
1,452,aserradero,P1,3.054,1.498,1.556,1479.7174014442032,1482.2371076676177,1482.384186512872,0.49,1482.384186512872,452
1,147,bano,P1,1.381,1.371,0.01,1482.384186512872,1482.384186512872,1482.4366006393782,0.0,1482.384186512872,452
1,70,secado,P3,81.38,77.067,4.313,1266.866920128777,1450.4980651712747,1483.8888672037933,0.0,1266.866920128777,379
1,453,aserradero,P2,27.412,13.693,13.719,1484.4738180894053,1484.9638180894053,1486.3312100188457,0.49,1486.3312100188457,453
1,106,drymill,P3,38.17,35.71,2.46,1266.866920128777,1483.8888672037933,1486.632666183194,0.0,1266.866920128777,379
1,454,aserradero,P3,32.052,15.968,16.084,1486.0347793418414,1486.8212100188457,1488.3735609926896,0.49,1488.3735609926896,454
1,107,drymill,P3,37.444,36.292,1.152,1266.866920128777,1486.632666183194,1489.5641769939923,0.0,1266.866920128777,379
1,40,impregnado,P3,37.782,37.609,0.173,1266.866920128777,1486.632666183194,1490.9577553163235,0.0,1266.866920128777,379
1,41,impregnado,P3,35.931,34.693,1.238,1266.866920128777,1490.9577553163235,1494.3870833084873,0.0,1266.866920128777,379
1,71,secado,P3,75.448,74.384,1.064,1393.6236529404582,1483.8888672037933,1516.2636209319999,0.0,1393.6236529404582,417
1,455,aserradero,P3,31.449,15.654,15.796,1486.7468347378158,1519.0,1520.5141170784987,0.0,1520.5141170784987,455
1,456,aserradero,P1,3.953,1.964,1.988,1486.7468347378158,1521.0041170784987,1521.1790744214081,0.49,1521.1790744214081,456
1,148,bano,P1,1.853,1.853,0.0,1521.1790744214081,1521.1790744214081,1521.2606249599519,0.0,1521.1790744214081,456
