replication,day,station,m3_in,m3_out,batches_processed
0,125,aserradero,31.251,15.587,1
0,125,impregnado,37.344,36.079,1
0,125,secado,78.994,77.496,1
0,126,aserradero,183.299,92.062,8
0,126,bano,46.896,45.919,4
0,126,drymill,111.963,106.11699999999999,3
0,126,impregnado,108.83,108.47,3
0,127,aserradero,228.614,113.792,10
0,127,bano,84.656,83.892,6
0,127,drymill,82.03299999999999,76.538,2
0,127,impregnado,73.96199999999999,71.944,2
0,127,secado,74.821,73.139,1
0,128,aserradero,198.142,99.628,7
0,128,bano,71.368,70.148,5
0,129,aserradero,175.952,88.40299999999999,7
0,129,bano,14.504000000000001,14.124,2
0,129,drymill,77.297,73.37299999999999,2
0,129,impregnado,38.286,38.286,1
0,129,secado,76.734,75.002,1
0,130,aserradero,201.99,101.188,7
0,130,bano,42.763999999999996,42.619,3
0,130,impregnado,35.739,35.545,1
0,131,aserradero,126.823,63.018,6
0,131,bano,17.349,17.078,3
0,131,drymill,78.84100000000001,74.339,2
0,131,impregnado,75.619,74.905,2
0,131,secado,74.328,71.826,1
0,133,aserradero,256.34,129.119,10
0,133,bano,43.676,42.994,4
0,133,drymill,81.14699999999999,75.717,2
0,133,impregnado,68.594,67.887,2
0,133,secado,84.638,82.485,1
0,134,aserradero,265.999,132.421,9
0,134,bano,59.671,58.419,4
0,135,aserradero,206.04399999999998,103.155,7
0,135,drymill,77.435,74.054,2
0,135,impregnado,77.88999999999999,75.731,2
0,135,secado,75.876,73.246,1
0,136,aserradero,60.086,30.24,2
0,136,bano,15.717,15.258,1
0,136,secado,84.379,81.565,1
0,137,aserradero,177.368,89.06,6
0,137,bano,30.408,29.971,2
0,137,drymill,76.55199999999999,73.18199999999999,2
0,137,impregnado,75.656,74.601,2
0,138,aserradero,87.587,43.618,3
0,138,drymill,111.78999999999999,105.10900000000001,3
0,138,impregnado,106.661,105.77600000000001,3
0,138,secado,114.263,111.315,2
0,139,secado,31.735,30.848,2
0,140,aserradero,242.002,119.919,8
0,140,bano,43.452,43.113,3
0,140,drymill,29.402,28.403,1
0,140,impregnado,25.985,25.498,1
0,140,secado,84.159,83.422,1
0,141,aserradero,311.845,156.336,10
0,141,bano,77.054,75.639,5
0,141,drymill,78.83,74.326,2
0,142,aserradero,215.998,107.075,7
0,142,drymill,80.62100000000001,77.372,2
0,142,secado,79.537,77.236,1
0,143,aserradero,217.087,108.986,7
0,143,bano,44.230000000000004,43.138,3
0,143,drymill,73.37100000000001,68.186,2
0,143,secado,75.849,71.767,1
0,144,aserradero,90.809,45.433,3
0,144,bano,14.332,14.332,1
0,144,drymill,75.62700000000001,72.04599999999999,2
0,144,secado,82.743,80.399,1
0,145,aserradero,177.082,88.886,6
0,145,bano,14.237,14.022,1
0,146,secado,77.553,75.567,1
0,147,aserradero,177.8,89.515,6
0,147,bano,30.249000000000002,30.167,2
0,147,drymill,153.556,145.15800000000002,4
0,147,secado,79.181,78.56,1
0,148,aserradero,295.187,146.992,10
0,148,bano,43.411,42.584,3
0,148,drymill,42.107,40.531,1
0,148,secado,85.872,83.064,1
0,149,aserradero,181.54399999999998,89.408,6
0,149,bano,14.196,14.037,1
0,149,drymill,37.643,35.182,1
0,150,aserradero,237.586,118.733,8
0,150,bano,45.618,45.513,3
0,150,drymill,77.625,74.65199999999999,2
0,150,secado,76.554,74.722,1
0,151,aserradero,271.298,134.662,9
0,151,bano,59.806,59.257,4
0,151,drymill,81.631,77.911,2
0,151,secado,75.451,72.919,1
0,152,aserradero,245.633,121.96,8
0,152,bano,60.311,59.573,4
0,152,drymill,78.997,74.93299999999999,2
0,152,secado,83.765,81.53,1
0,153,aserradero,28.176,14.289,1
0,153,secado,83.637,83.113,1
0,154,aserradero,269.37,135.262,9
0,154,bano,77.849,76.389,5
0,154,drymill,114.86699999999999,108.666,3
0,154,secado,84.747,81.434,1
0,155,aserradero,273.127,136.99099999999999,9
0,155,bano,15.351,14.881,1
0,155,drymill,38.914,36.825,1
0,156,aserradero,269.219,133.65,9
0,156,bano,60.423,59.626999999999995,4
0,156,drymill,76.322,72.681,2
0,156,secado,76.615,74.082,1
0,157,aserradero,211.61700000000002,105.599,7
0,157,bano,30.072,30.003,2
0,157,drymill,75.631,71.89699999999999,2
0,157,secado,75.077,74.261,1
0,158,aserradero,180.998,90.22200000000001,6
0,158,bano,14.114,13.84,1
0,158,drymill,81.472,76.93,2
0,158,secado,77.023,73.655,1
0,159,aserradero,91.143,45.781,3
0,159,bano,14.865,14.611,1
0,159,drymill,39.119,37.072,1
0,159,secado,78.542,75.31,1
0,160,aserradero,30.606,15.507,1
0,160,drymill,34.851,33.286,1
0,161,aserradero,259.766,128.751,9
0,161,bano,61.854,60.33,4
0,161,drymill,82.148,78.34299999999999,2
0,161,secado,81.728,77.306,1
0,162,aserradero,266.248,133.998,9
0,162,bano,58.242,57.771,4
0,162,drymill,91.36,85.368,4
0,162,secado,87.616,86.154,3
0,163,aserradero,183.291,92.197,6
0,163,bano,14.739,14.356,1
0,163,secado,76.659,74.596,1
0,164,aserradero,149.168,74.089,5
0,164,drymill,79.24,76.413,2
0,164,impregnado,72.646,71.508,2
0,165,aserradero,213.24200000000002,107.229,7
0,165,bano,29.845,29.34,2
0,165,drymill,76.568,74.203,2
0,165,impregnado,74.38499999999999,72.967,2
0,165,secado,79.335,77.379,1
0,166,aserradero,206.76,102.995,7
0,166,bano,31.476,31.057000000000002,2
0,166,drymill,75.527,71.42,2
0,166,impregnado,70.993,70.776,2
0,166,secado,82.461,81.768,1
0,167,secado,77.836,76.143,1
0,168,aserradero,203.441,101.502,7
0,168,drymill,114.78200000000001,108.358,3
0,168,impregnado,74.27000000000001,73.172,2
0,168,secado,82.181,77.966,1
0,169,aserradero,175.911,87.126,6
0,169,bano,28.689999999999998,28.313,2
0,169,drymill,35.578,34.137,1
0,169,impregnado,76.673,76.37200000000001,2
0,170,aserradero,150.032,74.623,5
0,170,bano,31.087,31.087,2
0,170,drymill,80.644,75.34700000000001,2
0,170,impregnado,74.834,74.748,2
0,170,secado,121.38,115.947,2
0,171,aserradero,184.239,91.394,6
0,171,bano,44.206,43.485,3
0,171,drymill,85.912,80.259,3
0,171,impregnado,81.564,81.319,3
0,171,secado,46.32,44.635,2
0,172,aserradero,211.34,104.933,7
0,172,bano,14.357,14.357,1
0,173,aserradero,237.203,117.491,8
0,173,bano,44.961,44.643,3
0,173,drymill,75.617,72.4,2
0,173,secado,84.237,81.631,1
0,174,secado,84.781,84.167,1
0,175,aserradero,271.375,135.626,9
0,175,bano,73.75,73.197,5
0,175,drymill,156.69,149.264,4
0,175,secado,79.704,76.683,1
0,176,aserradero,262.572,131.692,9
0,176,bano,61.845,61.406,4
0,176,drymill,81.568,76.989,2
0,176,secado,75.122,74.63,1
0,177,aserradero,242.723,121.543,8
0,177,bano,28.731,28.489,2
0,177,secado,78.668,76.036,1
0,178,aserradero,242.199,120.10300000000001,8
0,178,bano,31.128999999999998,31.104,2
0,178,drymill,81.031,78.116,2
0,179,aserradero,240.415,121.041,8
0,179,bano,75.266,74.667,5
0,179,drymill,77.756,72.839,2
0,179,secado,80.536,77.53,1
0,180,aserradero,328.35,163.872,11
0,180,bano,57.829,57.112,4
0,180,drymill,76.41499999999999,72.63300000000001,2
0,180,secado,83.552,82.667,1
0,181,secado,77.567,73.638,1
0,182,aserradero,205.358,102.217,7
0,182,bano,15.344,15.344,1
0,182,drymill,78.178,74.06800000000001,2
0,182,secado,81.516,78.993,1
0,183,aserradero,243.376,121.534,8
0,183,bano,28.884,28.750999999999998,2
0,183,drymill,78.863,74.128,2
0,184,aserradero,237.817,119.123,8
0,184,bano,45.141999999999996,44.664,3
0,184,drymill,75.256,72.459,2
0,184,secado,77.561,74.641,1
0,185,aserradero,173.953,87.437,6
0,185,bano,15.232,14.771,1
0,185,drymill,75.39099999999999,71.00200000000001,2
0,185,secado,85.273,84.335,1
0,186,aserradero,86.356,43.105000000000004,3
0,186,bano,28.297,28.198,2
0,186,drymill,75.0,71.148,2
0,186,secado,75.238,73.696,1
0,187,aserradero,238.81,119.149,8
0,187,bano,59.559,59.38,4
0,187,secado,79.535,75.303,1
0,188,aserradero,31.091,15.296,1
0,189,aserradero,267.084,133.34199999999998,9
0,189,bano,30.34,29.917,2
0,189,drymill,154.352,145.439,4
0,189,secado,76.074,73.676,1
0,190,aserradero,120.554,60.362,4
0,190,bano,14.975,14.612,1
0,191,aserradero,202.488,101.13499999999999,7
0,191,bano,14.186,13.942,1
0,191,drymill,77.268,72.668,2
0,191,secado,77.501,74.812,1
0,192,aserradero,202.266,101.652,7
0,192,bano,58.86,58.277,4
0,192,drymill,74.867,70.02199999999999,2
0,192,secado,77.985,75.136,1
0,193,aserradero,92.773,46.356,3
0,193,bano,14.292,13.837,1
0,193,drymill,38.701,37.039,1
0,193,secado,80.628,78.699,1
0,194,aserradero,275.602,137.391,9
0,194,bano,59.269,58.751999999999995,4
0,194,drymill,39.862,37.97,1
0,195,secado,82.86,81.674,1
0,196,aserradero,333.34,167.66,11
0,196,bano,30.991,30.468,2
0,196,drymill,151.427,145.28199999999998,4
0,196,secado,74.792,71.897,1
0,197,aserradero,207.45999999999998,103.301,7
0,197,bano,27.991999999999997,27.592,2
0,197,drymill,71.328,67.518,2
0,197,secado,73.303,71.67,1
0,198,aserradero,176.275,87.761,6
0,198,bano,30.808,30.576,2
0,198,drymill,80.543,75.44,2
0,198,secado,82.143,81.483,1
0,199,aserradero,186.149,92.596,6
0,199,bano,45.726,45.464,3
0,199,secado,75.953,75.48,1
0,200,aserradero,176.465,88.12899999999999,6
0,200,bano,43.601,43.384,3
0,200,drymill,77.438,72.977,2
0,200,secado,67.648,66.067,1
0,201,aserradero,208.447,104.459,7
0,201,drymill,105.82300000000001,100.75,3
0,201,secado,56.001,53.149,1
0,202,drymill,19.24,17.95,1
0,202,secado,45.933,44.371,1
0,203,aserradero,271.76800000000003,135.833,9
0,203,bano,44.114000000000004,43.499,3
0,203,drymill,76.71600000000001,73.53200000000001,2
0,203,secado,30.038,28.716,1
0,204,aserradero,271.977,135.361,9
0,204,bano,60.333,59.132000000000005,4
0,204,drymill,76.056,71.569,2
0,204,impregnado,71.549,70.338,2
0,204,secado,77.763,74.995,1
0,205,aserradero,235.699,117.92999999999999,8
0,205,bano,46.088,45.542,3
0,205,drymill,77.089,72.947,2
0,205,impregnado,37.706,36.48,1
0,205,secado,75.527,71.506,1
0,206,aserradero,120.94900000000001,60.528,4
0,206,bano,14.438,14.438,1
0,206,impregnado,34.221,34.221,1
0,207,aserradero,177.319,88.865,6
0,207,drymill,76.07,71.762,2
0,207,impregnado,37.164,35.932,1
0,207,secado,84.244,82.392,1
0,208,aserradero,90.311,44.587,3
0,208,bano,13.794,13.372,1
0,208,drymill,78.437,74.514,2
0,208,impregnado,73.479,71.578,2
0,208,secado,83.103,81.386,1
0,209,aserradero,29.378,14.36,1
0,209,impregnado,36.953,35.912,1
0,209,secado,82.097,81.326,1
0,210,aserradero,267.629,133.496,9
0,210,bano,89.393,88.827,6
