replication,buffer,time_h,event_type,product,delta_m3,level_after_m3
0,log_yard,133.1796101133801,PUT,LOG,24.825519375400013,120.2969948668761
0,log_yard,133.8740735357966,PUT,LOG,39.34427474806209,159.6412696149382
0,stock_seco,136.32913779570262,PUT,P2,77.6,77.6
0,stock_aserrado,136.32913779570262,GET,P2,-80.0,74.9374908995496
0,stock_seco,136.32913779570262,GET,P2,-40.0,37.599999999999994
0,stock_aserrado,137.98387965613148,PUT,P2,4.921025080046768,79.85851597959638
0,log_yard,137.98387965613148,GET,LOG,-30.0,129.6412696149382
0,stock_seco,139.46149145376017,GET,P2,-37.599999999999994,0.0
0,stock_aserrado,139.54418186995795,PUT,P2,15.0,94.85851597959638
0,log_yard,139.54418186995795,GET,LOG,-30.0,99.64126961493821
0,log_yard,140.32469393306508,PUT,LOG,30.42842948106328,130.0696990960015
0,log_yard,141.52928007219882,PUT,LOG,31.40749086373628,161.47718995973779
0,stock_aserrado,149.15570590766075,PUT,P2,15.0,109.85851597959638
0,stock_seco,165.89952374137613,PUT,P2,77.6,77.6
0,stock_aserrado,165.89952374137613,GET,P2,-45.579673141834,64.27884283776237
0,stock_seco,175.0,GET,P2,-40.0,37.599999999999994
0,log_yard,175.49,GET,LOG,-30.0,131.47718995973779
0,log_yard,176.4604424710163,PUT,LOG,27.048293814241177,158.52548377397898
0,stock_aserrado,177.06980624054387,PUT,P1,15.0,79.27884283776237
0,stock_aserrado,177.06980624054387,GET,P1,-15.0,64.27884283776237
0,log_yard,177.48497769436344,PUT,LOG,30.417883814593168,188.94336758857213
0,log_yard,177.55980624054388,GET,LOG,-30.0,158.94336758857213
0,log_yard,177.6084536970689,PUT,LOG,29.228091119777392,188.17145870834952
0,stock_seco,177.9896468574089,GET,P2,-37.599999999999994,0.0
0,stock_aserrado,179.28155404364222,PUT,P2,15.0,79.27884283776237
0,log_yard,179.28155404364222,GET,LOG,-30.0,158.17145870834952
0,stock_aserrado,180.77419136126545,PUT,P2,15.0,94.27884283776237
0,log_yard,180.77419136126545,GET,LOG,-30.0,128.17145870834952
0,stock_aserrado,182.16623402155258,PUT,P2,15.0,109.27884283776237
0,log_yard,182.6562340215526,GET,LOG,-30.0,98.17145870834952
0,log_yard,183.976565206842,PUT,LOG,27.613404069599124,125.78486277794865
0,stock_aserrado,184.0402965133376,PUT,P3,15.0,124.27884283776237
0,log_yard,184.53029651333762,GET,LOG,-30.0,95.78486277794865
0,stock_seco,184.63813012372017,PUT,P2,44.21228294757898,44.21228294757898
0,stock_aserrado,184.63813012372017,GET,P2,-45.0,79.27884283776237
0,stock_seco,184.63813012372017,GET,P2,-40.0,4.212282947578977
0,stock_aserrado,185.86048020993277,PUT,P2,15.0,94.27884283776237
0,log_yard,186.35048020993278,GET,LOG,-30.0,65.78486277794865
0,stock_aserrado,187.71032931087,PUT,P1,15.0,109.27884283776237
0,log_yard,187.71032931087,GET,LOG,-30.0,35.784862777948646
0,stock_aserrado,187.71032931087,GET,P1,-15.0,94.27884283776237
0,stock_seco,187.72870522748786,GET,P2,-4.212282947578977,0.0
0,log_yard,188.56272987444083,PUT,LOG,38.58972022634073,74.37458300428938
0,stock_aserrado,189.26766736061816,PUT,P1,15.0,109.27884283776237
0,log_yard,189.26766736061816,GET,LOG,-30.0,44.37458300428938
0,stock_aserrado,189.26766736061816,GET,P1,-15.0,94.27884283776237
0,log_yard,189.3112885946723,PUT,LOG,31.755724011369615,76.13030701565899
0,log_yard,190.2041063684923,PUT,LOG,31.13888042872235,107.26918744438133
0,stock_aserrado,190.7814391679155,PUT,P1,15.0,109.27884283776237
0,stock_aserrado,190.7814391679155,GET,P1,-15.0,94.27884283776237
0,log_yard,191.2714391679155,GET,LOG,-30.0,77.26918744438133
0,stock_aserrado,192.97269698414678,PUT,P3,15.0,109.27884283776237
0,log_yard,199.0,GET,LOG,-30.0,47.26918744438133
0,log_yard,200.2116900800165,PUT,LOG,37.98520745075088,85.25439489513221
0,stock_aserrado,200.4519544216226,PUT,P3,15.0,124.27884283776237
0,log_yard,200.9419544216226,GET,LOG,-30.0,55.25439489513221
